id;country;governate;region_city;street;building_number;postal_code;floor;room;landmark;additional_information
1;Ethiopia;Dollar Plastic;infrastructures Cheese Coordinator;Jaskolski Rapid;Kwanza;Money;sky;dot-com;viral;Grass-roots circuit SDD
2;Bolivia;real-time firewall neutral;parsing;Easter View;invoice;Granite Avon Wooden;multi-byte;Gloves Vision-oriented;SAS toolset;card
3;Mongolia;Rubber Congo 1080p;hack gold solution;Coralie Villages;purple bus;bus;Right-sized productize;Division Lithuania;transmitting Path neural-net;Account Buckinghamshire blue
4;Afghanistan;Arab withdrawal Canadian;withdrawal Iceland;Wunsch Mountain;Chair;Direct Realigned;Territories Developer redundant;Fresh Computer;Wyoming;Chile
5;Heard Island and McDonald Islands;hack matrix withdrawal;website;Cormier Terrace;Direct;homogeneous deposit;Plastic info-mediaries;THX magenta;seize;bypassing HDD
6;Bouvet Island (Bouvetoya);navigate backing;Manors;VonRueden Stream;Stand-alone generating Assistant;Music;and Wooden;interactive productize lavender;toolset payment;Bike Cotton
7;Ethiopia;Seamless revolutionary;Pizza 24/7;Dominic Square;integrated generate;enable;Bedfordshire Minnesota Loaf;hard;Account Baby back-end;recontextualize application
8;Belgium;Cambodia Loop Rupee;Metal Vermont;Torrey Curve;open Directives Keyboard;strategic Clothing Bridge;Jewelery;Loan;Steel Customizable;Shoes analyzer synthesizing
9;Guatemala;Electronics;reboot Supervisor;Devon Burgs;Cambridgeshire;sensor innovate;Investor Metal Baht;Borders;intranet District input;contextually-based neural
10;Marshall Islands;sensor;Benin;Ivy Fall;Bond;transmit Designer;Integration interface;PNG;Bike;white
