id;document_type;document_type_version;date_time_issued;taxpayer_activity_code;internal_id;purchase_order_reference;purchase_order_description;sales_order_reference;sales_order_description;proforma_invoice_number;total_sales_amount;total_discount_amount;net_amount;extra_discount_amount;total_items_discount_amount;total_amount
1;invoice Tanzanian;Fantastic National;2022-01-31T06:39:25;viral Soft Serbia;navigate generate Afghani;Investor;hacking Intelligent hack;program fault-tolerant;Dollar;white;64381;89722;87618;24834;48865;96516
2;Buckinghamshire maximize;Borders Cheese Executive;2022-01-31T01:13:28;envisioneer;Metal;Games;Forward Borders;payment orchid;Pataca;bricks-and-clicks Circles bluetooth;51355;76586;7;76092;2928;45836
3;Georgia Unbranded New;Tactics New Plastic;2022-01-31T04:52:29;mesh;Buckinghamshire;Product;deposit;Israel;visualize Steel;magenta;40637;76668;62350;24977;58802;26101
4;Buckinghamshire Concrete;benchmark;2022-01-31T07:59:13;orchid;JSON;Industrial;XSS;Arkansas;info-mediaries;Universal;60032;37982;24809;41417;94356;37680
5;Tools compress invoice;toolset;2022-01-31T13:46:14;Incredible;Incredible;Indiana Sleek;Books;payment turquoise;architect;connect superstructure Accountability;40470;74454;88893;17961;38865;38827
6;back;CSS online;2022-01-31T00:56:31;Producer orange red;payment Dollar Marketing;back-end Industrial bypass;Connecticut California open-source;Handmade reboot Executive;Zambia optical withdrawal;Moroccan;69974;73504;98705;71871;35977;58244
7;Realigned Interactions;experiences port index;2022-01-31T00:54:18;Connecticut Representative;Fish;technologies motivating Bermuda;withdrawal Buckinghamshire;Accountability program Electronics;e-business connecting Louisiana;Platinum Wooden IB;58875;2128;68501;52361;79938;25985
8;indigo Advanced;Refined Cheese success;2022-01-30T20:13:20;redefine Clothing quantifying;Intranet Usability Garden;Tunnel Montana Web;Afghanistan;Soft Intelligent;portals Soft Producer;Taka;49730;28642;66949;72263;34615;73556
9;Ergonomic;generate Investor Incredible;2022-01-30T23:43:41;auxiliary Refined supply-chains;Intelligent transition non-volatile;Handcrafted;Optimized Down-sized transmitting;override Bedfordshire alliance;panel Granite;service-desk;92434;34969;73592;83543;29300;42772
10;Italy Facilitator;JSON;2022-01-31T16:16:06;initiatives Singapore Balanced;Guyana;Dynamic bandwidth;Technician Games;Branding contingency Frozen;Belize hacking systems;intermediate Account;49215;46136;42362;88174;92858;37093
